ticker,company,industry,form,score,recommended
TMCWW,TMC the metals Co Inc.,Metal Mining,4,3,False
SRFM,SURF AIR MOBILITY INC.,"Air Transportation, Nonscheduled",4,3,False
,4 - D'AGOSTINO JOHN J.,,4,3,False
,4 - Emerald Green Trust,,4,3,False
XOSWW,"Xos, Inc.",Motor Vehicle Parts & Accessories,4,3,False
,3 - Bibb John T,,3,2,False
ZYXI,ZYNEX INC,Electromedical & Electrotherapeutic Apparatus,3,2,False
,4 - Labe James,,4,3,False
TPVG,TriplePoint Venture Growth BDC Corp.,,4,3,False
,4 - Srivastava Sajal,,4,3,False
TPVG,TriplePoint Venture Growth BDC Corp.,,4,3,False
,3/A - Cabell Christopher,,3/A,2,False
IKT,"Inhibikase Therapeutics, Inc.","Biological Products, (No Diagnostic Substances)",3/A,2,False
IKT,"Inhibikase Therapeutics, Inc.","Biological Products, (No Diagnostic Substances)",3/A,2,False
,3/A - Aurentz Vincent,,3/A,2,False
IKT,"Inhibikase Therapeutics, Inc.","Biological Products, (No Diagnostic Substances)",4,3,False
,4 - Munshi Amit,,4,3,False
GTCH,GBT Technologies Inc.,Services-Management Consulting Services,8-K,5,True
,4 - Rainer David I,,4,3,False
QTTB,Q32 Bio Inc.,Pharmaceutical Preparations,4,3,False
,4 - Morrison Jodie Pope,,4,3,False
VALE,Vale S.A.,Metal Mining,6-K,4,False
,4 - Williams Laura A,,4,3,False
ARDX,"ARDELYX, INC.",Pharmaceutical Preparations,4,3,False
NWSAL,NEWS CORP,Newspapers: Publishing or  Publishing & Printing,8-K,5,True
,4 - Kelliher Mike,,4,3,False
ARDX,"ARDELYX, INC.",Pharmaceutical Preparations,4,3,False
UAMY,UNITED STATES ANTIMONY CORP,Primary Smelting & Refining of  Nonferrous Metals,8-K,5,True
,4 - Violette Shelia M.,,4,3,False
QTTB,Q32 Bio Inc.,Pharmaceutical Preparations,4,3,False
,3 - Schmit Jennifer Laura,,3,2,False
RBA,RB GLOBAL INC.,"Services-Business Services, NEC",3,2,False
ALAB,"Astera Labs, Inc.",Semiconductors & Related Devices,4,3,False
,4 - LAZAR JACK R,,4,3,False
QTTB,Q32 Bio Inc.,Pharmaceutical Preparations,4,3,False
,4 - Kalowski Lee,,4,3,False
,4 - SHEETS JUSTIN D,,4,3,False
MTRX,MATRIX SERVICE CO,Construction - Special Trade Contractors,4,3,False
,4 - AUSTIN NANCY E,,4,3,False
MTRX,MATRIX SERVICE CO,Construction - Special Trade Contractors,4,3,False
PAY,"Paymentus Holdings, Inc.","Services-Business Services, NEC",4,3,False
,4 - Palumbo Robert,,4,3,False
,4 - MONTALBANO DOUGLAS J,,4,3,False
MTRX,MATRIX SERVICE CO,Construction - Special Trade Contractors,4,3,False
PAY,"Paymentus Holdings, Inc.","Services-Business Services, NEC",4,3,False
,4 - Barnds Thomas,,4,3,False
,4 - Malinowski Adam,,4,3,False
PAY,"Paymentus Holdings, Inc.","Services-Business Services, NEC",4,3,False
,4 - PAYNE SHAWN P,,4,3,False
MTRX,MATRIX SERVICE CO,Construction - Special Trade Contractors,4,3,False
,4 - Cavanah Kevin S,,4,3,False
MTRX,MATRIX SERVICE CO,Construction - Special Trade Contractors,4,3,False
,4 - Chase Valerie,,4,3,False
,4 - Klein Jason,,4,3,False
PAY,"Paymentus Holdings, Inc.","Services-Business Services, NEC",4,3,False
,4 - HEWITT JOHN R,,4,3,False
MTRX,MATRIX SERVICE CO,Construction - Special Trade Contractors,4,3,False
